"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"2643","2019-2020","J7","2019-10-12","Racing 92","SU Agen",27,27,"Stade Français Paris La Défense Arena","VASIL KAKOVIN","KÉVIN LE GUEN","ALI OZ","DONNACHA RYAN","BORIS PALU","YOAN TANGA-MANGENE","BAPTISTE CHOUZENOUX","ANTONIE CLAASSEN","TEDDY IRIBAREN","JOAQUIN DIAZ BONILLA","JUAN IMHOFF","HENRY CHAVANCY","LÉONARD STADE FRANÇAIS PARIS","LOUIS DUPICHOT","SIMON ZEBO","TEDDY BAUBIGNY","HASSANE KOLINGAR","DOMINIC BIRD","IBRAHIM DIALLO","SAM HIDALGO-CLYNE","ANTOINE GIBERT","DORIAN LABORDE","GEORGES-HENRI COLOMBE","MORGAN PHÉLIPPONNEAU","CLÉMENT MARTINEZ","WALTER DESMAISON","ADRIAN MOTOC","ANDRÉS ZAFRA","JESSY JEGERLEHNER","VINCENT FARRÉ","DYLAN HAYES","HUGO VERDU","RAPHAËL LAGARDE","JOHANN SADIE","NATHAN DECRON","SAM VAKA","JJ TAULAGI","LORIS TOLOT","LORIS ZARANTONELLO","MALINO VANAÏ","TOM MURDAY","ROMAIN BRIATTE","PAUL ABADIE","THOMAS VINCENT","LOUIS GAUBAN","DAVE RYAN",0,0,"Null"
"2644","2019-2020","J7","2019-10-12","LOU Rugby","Pau",27,8,"Matmut Stadium Gerland","RAPHAËL CHAUME","JÉRÉMIE MAUROUARD","HAMZA KAABÈCHE","FÉLIX LAMBEY","KILLIAN GÉRACI","DYLAN CRETIN","PATRICK SOBÉLA","MATHIEU BASTAREAUD","JONATHAN PÉLISSIÉ","JEAN-MARC DOUSSAIN","ALEXIS PALISSON","CHARLIE NGATAI","RUDI WULF","XAVIER MIGNOT","JEAN-MARCELLIN BUTTIN","BADRI ALKHAZASHVILI","XAVIER CHIOCCI","ETIENNE OOSTHUIZEN","CARL FEARNS","BAPTISTE COUILLOUD","PATRICIO FERNANDEZ","THIBAUT REGARD","FRANCISCO GOMEZ KODELA","IGNACIO CALLES","QUENTIN LESPIAUCQ","MOHAMED BOUGHANMI","DANIEL RAMSAY","FABRICE METZ","GIOVANNI HABEL-KUEFFNER","LEKIMA TAGITAGIVALU","ANTOINE ERBANI","THIBAULT DAUBAGNA","COLIN SLADE","WATISONI VOTU","BENSON STANLEY","ALEXANDRE DUMOULIN","BASTIEN POURAILLY","ANTOINE HASTOY","LUCAS REY","NICOLAS CORATO","DAN MALAFOSSE","MATTHIEU UGENA","CLOVIS LE BAIL","TOM TAYLOR","JULIEN FUMAT","LOURENS ADRIAANSE",0,19,"LOU Rugby"
"2645","2019-2020","J7","2019-10-12","Stade Rochelais","CA Brive",41,17,"Stade Marcel Deflandre","DANY PRISO","PIERRE BOURGARIT","RAMIRO HERRERA","ROMAIN SAZY","MATHIEU TANGUY","LOPETI TIMANI","WIAAN LIEBENBERG","VICTOR VITO","TAWERA KERR-BARLOW","IHAIA WEST","MARC ANDREU","PIERRE AGUILLON","JÉRÉMY SINZELLE","JULES FAVRE","ARTHUR RETIÈRE","FACUNDO BOSCH","MIKE CORBEL","RÉMI LEROUX","ZENO KIEFT","ALEXI BALÈS","BROCK JAMES","ELIOTT ROUDIL","SILA PUAFISI","HAYDEN THOMPSON-STRINGER","FRANÇOIS DA ROS","JAMES JOHNSTON","JAN UYS","PEET MARAIS","MATTHIEU VOISIN","ESTEBAN ABADIE","KITIONE KAMIKAMICA","DAVID DELARUE","ENZO HERVÉ","GUILLAUME NAMY","ALEX DUNBAR","NICO LEE","SETAREKI BITUNIYATA","JORIS JURAND","PENIAMI NASALI NARISIA","KARLEN ASIESHVILI","VICTOR LEBAS","SO'OTALA FA'ASO'O","JULIEN BLANC","SEVA GALALA","RORY SCHOLES","SOSO BEKOSHVILI",0,24,"Stade Rochelais"
"2646","2019-2020","J7","2019-10-13","Stade Français Paris","RC Toulon",33,30,"Stade Jean Bouin","STÉPHANE CLÉMENT","LUCAS DA SILVA","CARLÜ SADIE","WILLEM ALBERTS","YOANN MAESTRI","LOÏC GODENER","SEKOU MACALOU","JOSH STRAUSS","ARTHUR COVILLE","MORNÉ STEYN","ADRIEN LAPÈGUE","JONATHAN DANTY","JULIEN DELBOUIS","LESTER ÉTIEN","KYLAN HAMDAOUI","SIONE ANGA'AELANGI","QUENTIN BÉTHUNE","HUGH PYLE","RYAN CHAPUIS","JAMES HALL","JORIS SEGONDS","JULIEN ARIAS","LUKE TAGI","JEAN-BAPTISTE GROS","ANTHONY ÉTRILLARD","WILCO LOUW","SWAN REBBADJ","BRIAN ALAINU'UESE","STÉPHANE ONAMBÉLÉ","RAPHAËL LAKAFIA","FACUNDO ISA","LOUIS SCHREUDER","ANTHONY BELLEAU","DANIEL IKPEFAN","JULIAN SAVEA","MATHIEU SMAÏLI","MASIVESI DAKUWAQA","GERVAIS CORDIN","BASTIEN SOURY","BRUCE DEVAUX","CORENTIN VERNET","MATTÉO LE CORVEC","GABIN VILLIÈRE","LOUIS CARBONEL","RHYS WEBB","SÉBASTIEN TAOFIFENUA",0,3,"Stade Français Paris"
"2647","2019-2020","J7","2019-10-13","Union Bordeaux-Bègles","ASM Clermont",42,15,"Jacques Chaban-Delmas","THIERRY PAÏVA","FLORIAN DUFOUR","VADIM COBILAS","KANE DOUGLAS","CYRIL CAZEAUX","ALEXANDRE ROUMAT","MAHAMADOU DIABY","SCOTT HIGGINBOTHAM","YANN LESGOURGUES","BEN BOTICA","SANTIAGO CORDERO","SETA TAMANIVALU","JEAN-BAPTISTE DUBIÉ","GEOFFREY CROS","NANS DUCUING","ADRIEN PÉLISSIÉ","LAURENT DELBOULBÈS","ALEXANDRE FLANQUART","MARCO TAULEIGNE","MAXIME LUCU","LUCAS MÉRET","BLAIR CONNOR","LEKSO KAULASHVILI","LONI UHILA","JOHN ULUGIA","DUANE AHOLELEI","JACO VAN TONDER","GEORGE MERRICK","FAIFILI LEVAVE","CLÉMENT LANEN","JULIEN RUAUD","RUDY PAIGE","MARC PALMIER","SAMUEL EZEALA","GEORGE MOALA","LÉO TREILLES","JJ ENGELBRECHT","SETARIKI TUICUVU","MIKE TADJER","BEQA KAKABADZE","PAUL JEDRASIAK","JUDICAËL CANCORIET","CHARLIE CASSANG","JAKE MCINTYRE","PETER BETHAM","SIPILI FALATEA",0,27,"Union Bordeaux-Bègles"
"2648","2019-2020","J8","2019-10-19","Montpellier Hérault Rugby","Stade Toulousain",33,22,"GGL Stadium","GRÉGORY FICHTEN","VINCENT GIUDICELLI","MOHAMED HAOUAS","NICOLAAS JANSE VAN RENSBURG","PAUL WILLEMSE","KÉLIAN GALLETIER","MARTIN DEVERGIE","JACQUES DU PLESSIS","KAHN FOTUALI'I","ANTHONY BOUTHIER","TIMOCI NAGUSA","JAN SERFONTEIN","ARTHUR VINCENT","GABRIEL N'GANDEBE","HENRY IMMELMAN","YOURI DELHOMMEL","LIZO GQOBOKA","JULIEN LEDEVEDEC","CALEB TIMU","ENZO SANGA","THOMAS DARMON","YVAN REILHAC","JANNIE DU PLESSIS","CLÉMENT CASTETS","JULIEN MARCHAND","CHARLIE FAUMUINA","FLORIAN VERHAEGHE","GILLIAN GALAN","FRANÇOIS CROS","RYNHARDT ELSTADT","ANTOINE MIQUEL","SÉBASTIEN BÉZY","THOMAS RAMOS","MAXIME MARTY","THÉO BELAN","LUCAS TAUZIN","WERNER KOK","MATTHIS LEBEL","GUILLAUME MARCHAND","RÉMY HUGUES","IOSEFA TEKORI","ALBAN PLACINES","SELEVASIO TOLOFUA","PIERRE PAGÈS","TRISTAN TEDDER","MAKS VAN DYK",0,11,"Montpellier Hérault Rugby"
"2649","2019-2020","J8","2019-10-19","SU Agen","Stade Français Paris",27,14,"Stade Armandie","GIORGI TETRASHVILI","CLÉMENT MARTINEZ","DAVE RYAN","TOM MURDAY","ANDRÉS ZAFRA","ROMAIN BRIATTE","VINCENT FARRÉ","LAURENCE PEARCE","PAUL ABADIE","LÉO BERDEU","JOHANN SADIE","NATHAN DECRON","SAM VAKA","JJ TAULAGI","VALENTIN SAURS","LORIS ZARANTONELLO","MALINO VANAÏ","ADRIAN MOTOC","DYLAN HAYES","HUGO VERDU","THOMAS VINCENT","LORIS TOLOT","WALTER DESMAISON","QUENTIN BÉTHUNE","LUCAS DA SILVA","CARLÜ SADIE","MATHIEU DE GIOVANNI","HUGH PYLE","LOÏC GODENER","SEKOU MACALOU","TALALELEI GRAY","ARTHUR COVILLE","MORNÉ STEYN","ADRIEN LAPÈGUE","JONATHAN DANTY","JULIEN DELBOUIS","LESTER ÉTIEN","KYLAN HAMDAOUI","SIONE ANGA'AELANGI","THIERRY FUTEU","JOSH STRAUSS","RYAN CHAPUIS","JAMES HALL","JORIS SEGONDS","JULIEN ARIAS","LUKE TAGI",0,13,"SU Agen"
"2650","2019-2020","J8","2019-10-19","RC Toulon","Aviron Bayonnais",20,9,"Stade Mayol","JEAN-BAPTISTE GROS","ANTHONY ÉTRILLARD","MARCEL VAN DER MERWE","SWAN REBBADJ","BRIAN ALAINU'UESE","STÉPHANE ONAMBÉLÉ","RAPHAËL LAKAFIA","FACUNDO ISA","RHYS WEBB","ANTHONY BELLEAU","GABIN VILLIÈRE","JULIAN SAVEA","MATHIEU SMAÏLI","MASIVESI DAKUWAQA","GERVAIS CORDIN","BASTIEN SOURY","BRUCE DEVAUX","MAMUKA GORGODZE","LIAM MESSAM","THÉO DACHARY","LOUIS CARBONEL","LOUIS SCHREUDER","WILCO LOUW","SWAN CORMENIER","MAXIME DELONCA","VILIAMU AFATIA","ANTOINE BATTUT","EVRARD DION OULAI","FILIMO TAOFIFENUA","TOM DARLET","MAT LUAMANU","EMMANUEL SAUBUSSE","BRANDON FAJARDO","DJIBRIL CAMARA","ROMAIN BARTHÉLÉMY","ALOFA ALOFA","SEAN ROBINSON","JULIEN TISSERON","MAXIME LAMOTHE","UGO BONIFACE","ARNAUD DUPUTS","MARIANO GALARZA","GUILLAUME ROUET","RÉMY BAGET","PEYO MUSCARDITZ","LUC MOUSSET",0,11,"RC Toulon"
"2651","2019-2020","J8","2019-10-19","Pau","Castres Olympique",37,24,"Stade du Hameau","IGNACIO CALLES","QUENTIN LESPIAUCQ","LOURENS ADRIAANSE","DANIEL RAMSAY","FABRICE METZ","MARTIN PUECH","LEKIMA TAGITAGIVALU","MATTHIEU UGENA","SAMUEL MARQUÈS","ANTOINE HASTOY","WATISONI VOTU","FLORIAN NICOT","BENSON STANLEY","JULIEN FUMAT","CHARLY MALIÉ","LUCAS REY","GEOFFREY MOÏSE","JULIEN DELANNOY","BAPTISTE PESENTI","ANTOINE ERBANI","THIBAULT DAUBAGNA","TOM TAYLOR","NICOLAS CORATO","ANTOINE TICHIT","JODY JENNEKER","WILFRID HOUNKPATIN","KÉVIN GIMENO","HANS N'KINSI","BAPTISTE DELAPORTE","CAMILLE GÉRONDEAU","ANTHONY JELONCH","LUDOVIC RADOSAVLJEVIC","JULIEN DUMORA","JULIEN CAMINATI","ROBERT EBERSOHN","THOMAS COMBEZOU","MARTIN LAVEAU","GEOFFREY PALIS","PAUL SAUZARET","TUDOR STROË","LOÏC JACQUET","ALEX TULOU","RORY KOCKOTT","THOMAS FORTUNEL","FLORIAN VIALELLE","TAPU FALATEA",0,13,"Pau"
"2652","2019-2020","J8","2019-10-19","CA Brive","Union Bordeaux-Bègles",30,9,"Stadium Municipal","SIMON-PIERRE CHAUVAC","THOMAS ACQUIER","MESAKE DOGE","PEET MARAIS","MITCH LEES","KITIONE KAMIKAMICA","SAÏD HIRÈCHE","SO'OTALA FA'ASO'O","JULIEN BLANC","ENZO HERVÉ","GUILLAUME NAMY","SEVA GALALA","NICO LEE","AXEL MULLER","THOMAS LARANJEIRA","FRANÇOIS DA ROS","HAYDEN THOMPSON-STRINGER","JAN UYS","MATTHIEU VOISIN","DAVID DELARUE","GUILLAUME GALLETIER","JORIS JURAND","JAMES JOHNSTON","THIERRY PAÏVA","ADRIEN PÉLISSIÉ","VADIM COBILAS","KANE DOUGLAS","ALEXANDRE FLANQUART","SCOTT HIGGINBOTHAM","MAHAMADOU DIABY","MARCO TAULEIGNE","MAXIME LUCU","BEN BOTICA","BLAIR CONNOR","SETA TAMANIVALU","JEAN-BAPTISTE DUBIÉ","SANTIAGO CORDERO","NANS DUCUING","FLORIAN DUFOUR","LAURENT DELBOULBÈS","CYRIL CAZEAUX","ALEXANDRE ROUMAT","YANN LESGOURGUES","LUCAS MÉRET","GEOFFREY CROS","LEKSO KAULASHVILI",0,21,"CA Brive"
"2653","2019-2020","J8","2019-10-19","Stade Rochelais","Racing 92",12,6,"Stade Marcel Deflandre","MIKE CORBEL","PIERRE BOURGARIT","RAMIRO HERRERA","ROMAIN SAZY","MATHIEU TANGUY","LOPETI TIMANI","WIAAN LIEBENBERG","VICTOR VITO","ALEXI BALÈS","IHAIA WEST","MARC ANDREU","PIERRE AGUILLON","JÉRÉMY SINZELLE","JULES FAVRE","ARTHUR RETIÈRE","JEAN-CHARLES ORIOLI","DANY PRISO","RÉMI LEROUX","ZENO KIEFT","THOMAS BERJON","BROCK JAMES","ELIOTT ROUDIL","SILA PUAFISI","EDDY BEN AROUS","TEDDY BAUBIGNY","ALI OZ","DONNACHA RYAN","BORIS PALU","YOAN TANGA-MANGENE","BAPTISTE CHOUZENOUX","ANTONIE CLAASSEN","TEDDY IRIBAREN","ANTOINE GIBERT","JUAN IMHOFF","HENRY CHAVANCY","OLIVIER KLEMENCZAK","TEDDY THOMAS","BRICE DULIN","KÉVIN LE GUEN","VASIL KAKOVIN","DOMINIC BIRD","IBRAHIM DIALLO","JOAQUIN DIAZ BONILLA","LÉONARD STADE FRANÇAIS PARIS","DORIAN LABORDE","GEORGES-HENRI COLOMBE",0,6,"Stade Rochelais"
"2654","2019-2020","J8","2019-10-20","ASM Clermont","LOU Rugby",24,15,"Parc des Sports Marcel Michelin","ETIENNE FALGOUX","JOHN ULUGIA","DAVIT ZIRAKASHVILI","PAUL JEDRASIAK","SITALEKI TIMANI","JUDICAËL CANCORIET","ALEXANDRE LAPANDRY","FRITZ LEE","MORGAN PARRA","JAKE MCINTYRE","SAMUEL EZEALA","APISAI NAQALEVU","ISAIA TOEAVA","PETER BETHAM","NICK ABENDANON","MIKE TADJER","LONI UHILA","GEORGE MERRICK","FAIFILI LEVAVE","RUDY PAIGE","RÉMY GROSSO","GEORGE MOALA","SIPILI FALATEA","XAVIER CHIOCCI","MICKAËL IVALDI","FRANCISCO GOMEZ KODELA","VIRGILE BRUNI","ETIENNE OOSTHUIZEN","DYLAN CRETIN","LIAM GILL","MATHIEU BASTAREAUD","BAPTISTE COUILLOUD","JONATHAN WISNIEWSKI","NOA NAKAITACI","CHARLIE NGATAI","THIBAUT REGARD","XAVIER MIGNOT","TOBY ARNOLD","BADRI ALKHAZASHVILI","RAPHAËL CHAUME","KILLIAN GÉRACI","LOANN GOUJON","JONATHAN PÉLISSIÉ","JULIEN PURICELLI","RUDI WULF","CLÉMENT RIC",0,9,"ASM Clermont"
"2655","2019-2020","J9","2019-11-09","RC Toulon","Montpellier Hérault Rugby",19,19,"Stade Mayol","SÉBASTIEN TAOFIFENUA","ANTHONY ÉTRILLARD","WILCO LOUW","SWAN REBBADJ","MAMUKA GORGODZE","CHARLES OLLIVON","RAPHAËL LAKAFIA","FACUNDO ISA","RHYS WEBB","ANTHONY BELLEAU","GABIN VILLIÈRE","JULIEN HÉRITEAU","JULIAN SAVEA","MASIVESI DAKUWAQA","GERVAIS CORDIN","BASTIEN SOURY","JEAN-BAPTISTE GROS","BRIAN ALAINU'UESE","LIAM MESSAM","THÉO DACHARY","LOUIS CARBONEL","LOUIS SCHREUDER","MARCEL VAN DER MERWE","MISHA NARIASHVILI","GUILHEM GUIRADO","LEVAN CHILACHAVA","NICOLAAS JANSE VAN RENSBURG","KONSTANTINE MIKAUTADZE","KÉLIAN GALLETIER","YACOUBA CAMARA","LOUIS PICAMOLES","KAHN FOTUALI'I","AARON CRUDEN","TIMOCI NAGUSA","JAN SERFONTEIN","ARTHUR VINCENT","GABRIEL N'GANDEBE","HENRY IMMELMAN","YOURI DELHOMMEL","GRÉGORY FICHTEN","PAUL WILLEMSE","MARTIN DEVERGIE","BENOÎT PAILLAUGUE","ANTHONY BOUTHIER","YVAN REILHAC","MOHAMED HAOUAS",0,0,"Null"
"2656","2019-2020","J9","2019-11-09","Aviron Bayonnais","Pau",3,9,"Stade Jean Dauger","VILIAMU AFATIA","MAXIME LAMOTHE","LUC MOUSSET","MARIANO GALARZA","GUILLAUME DUCAT","JEAN MONRIBOT","ANTOINE BATTUT","MAT LUAMANU","MICHAEL RURU","ROMAIN BARTHÉLÉMY","DJIBRIL CAMARA","MALIETOA HINGANO","ALOFA ALOFA","ARTHUR DUHAU","JULIEN TISSERON","TORSTEN VAN JAARSVELD","UGO BONIFACE","EDWIN MAKA","FILIMO TAOFIFENUA","GUILLAUME ROUET","BRANDON FAJARDO","BAPTISTE HÉGUY","ARETZ IGUINIZ","IGNACIO CALLES","QUENTIN LESPIAUCQ","LOURENS ADRIAANSE","DANIEL RAMSAY","FABRICE METZ","LEKIMA TAGITAGIVALU","MATTHIEU UGENA","MARTIN PUECH","SAMUEL MARQUÈS","ANTOINE HASTOY","WATISONI VOTU","JALE VATUBUA","BENSON STANLEY","JULIEN FUMAT","CHARLY MALIÉ","LUCAS REY","GEOFFREY MOÏSE","JULIEN DELANNOY","BAPTISTE PESENTI","ANTOINE ERBANI","THIBAULT DAUBAGNA","TOM TAYLOR","NICOLAS CORATO",0,-6,"Pau"
"2657","2019-2020","J9","2019-11-09","Union Bordeaux-Bègles","SU Agen",23,0,"Jacques Chaban-Delmas","JEFFERSON POIROT","ADRIEN PÉLISSIÉ","VADIM COBILAS","KANE DOUGLAS","CYRIL CAZEAUX","ALEXANDRE ROUMAT","CAMERON WOKI","MARCO TAULEIGNE","MAXIME LUCU","BEN BOTICA","SANTIAGO CORDERO","SETA TAMANIVALU","ULUPANO SEUTENI","GEOFFREY CROS","NANS DUCUING","FLORIAN DUFOUR","THIERRY PAÏVA","MASALOSALO TUTAIA","SCOTT HIGGINBOTHAM","YANN LESGOURGUES","MATTHIEU JALIBERT","SEMI RADRADRA","LEKSO KAULASHVILI","GIORGI TETRASHVILI","CLÉMENT MARTINEZ","DAVE RYAN","TOM MURDAY","ANDRÉS ZAFRA","JESSY JEGERLEHNER","ROMAIN BRIATTE","LAURENCE PEARCE","HUGO VERDU","LÉO BERDEU","JJ TAULAGI","NATHAN DECRON","JOHANN SADIE","BENITO MASILEVU","VALENTIN SAURS","LORIS ZARANTONELLO","MALINO VANAÏ","ADRIAN MOTOC","DYLAN HAYES","XAVIER CHAUVEAU","JORDAN PULETUA","LORIS TOLOT","WALTER DESMAISON",0,23,"Union Bordeaux-Bègles"
"2658","2019-2020","J9","2019-11-09","Castres Olympique","CA Brive",28,26,"Stade Pierre Fabre","ANTOINE TICHIT","MARC-ANTOINE RALLIER","WILFRID HOUNKPATIN","CHRISTOPHE SAMSON","LOÏC JACQUET","BAPTISTE DELAPORTE","ANTHONY JELONCH","MA'AMA VAIPULU","RORY KOCKOTT","BENJAMIN URDAPILLETA","TAYLOR STADE FRANÇAIS PARIS","FLORIAN VIALELLE","THOMAS COMBEZOU","GEOFFREY PALIS","JULIEN DUMORA","JODY JENNEKER","WAYAN DE BENEDITTIS","DORIAN CLERC","CAMILLE GÉRONDEAU","LUDOVIC RADOSAVLJEVIC","YANN DAVID","BENJAMIN LAPEYRE","PAEA FA'ANUNU","KARLEN ASIESHVILI","THOMAS ACQUIER","SOSO BEKOSHVILI","PEET MARAIS","MITCH LEES","MATTHIEU VOISIN","SAÏD HIRÈCHE","OTAR GIORGADZE","JULIEN BLANC","THOMAS LARANJEIRA","FRANCK ROMANET","ALEX DUNBAR","NICO LEE","AXEL MULLER","JORIS JURAND","FRANÇOIS DA ROS","HAYDEN THOMPSON-STRINGER","JAN UYS","SO'OTALA FA'ASO'O","VASIL LOBZHANIDZE","ENZO HERVÉ","SEVA GALALA","CODY THOMAS",0,2,"Castres Olympique"
"2659","2019-2020","J9","2019-11-09","Stade Toulousain","ASM Clermont",34,8,"Stadium de Stade Toulousain","CLÉMENT CASTETS","JULIEN MARCHAND","CHARLIE FAUMUINA","RICHIE ARNOLD","IOSEFA TEKORI","FRANÇOIS CROS","RYNHARDT ELSTADT","SELEVASIO TOLOFUA","SÉBASTIEN BÉZY","ZACK HOLMES","MAXIME MÉDARD","ROMAIN NTAMACK","SOFIANE GUITOUNE","YOANN HUGET","THOMAS RAMOS","GUILLAUME MARCHAND","CYRIL BAILLE","GILLIAN GALAN","JEROME KAINO","FLORIAN VERHAEGHE","PIERRE PAGÈS","LUCAS TAUZIN","DORIAN ALDEGHERI","ETIENNE FALGOUX","JOHN ULUGIA","DAVIT ZIRAKASHVILI","PAUL JEDRASIAK","SITALEKI TIMANI","JUDICAËL CANCORIET","ALEXANDRE LAPANDRY","PECELI YATO","MORGAN PARRA","CAMILLE LOPEZ","ALIVERETI RAKA","APISAI NAQALEVU","ISAIA TOEAVA","SAMUEL EZEALA","NICK ABENDANON","YOHAN BEHEREGARAY","LONI UHILA","THIBAULT LANEN","ALEXANDRE FISCHER","GREIG LAIDLAW","JAKE MCINTYRE","GEORGE MOALA","RABAH SLIMANI",0,26,"Stade Toulousain"
"2660","2019-2020","J9","2019-11-10","LOU Rugby","Stade Rochelais",45,17,"Matmut Stadium Gerland","XAVIER CHIOCCI","MICKAËL IVALDI","DEMBA BAMBA","LOANN GOUJON","ETIENNE OOSTHUIZEN","DYLAN CRETIN","PATRICK SOBÉLA","MATHIEU BASTAREAUD","BAPTISTE COUILLOUD","JONATHAN WISNIEWSKI","NOA NAKAITACI","CHARLIE NGATAI","PIERRE-LOUIS BARASSI","JOSUA TUISOVA","TOBY ARNOLD","JÉRÉMIE MAUROUARD","RAPHAËL CHAUME","HENDRIK ROODT","JULIEN PURICELLI","JONATHAN PÉLISSIÉ","PATRICIO FERNANDEZ","THIBAUT REGARD","CLÉMENT RIC","DANY PRISO","PIERRE BOURGARIT","ARTHUR JOLY","MATHIEU TANGUY","LOPETI TIMANI","GREG ALLDRITT","ZENO KIEFT","VICTOR VITO","TAWERA KERR-BARLOW","IHAIA WEST","MARC ANDREU","LEVANI BOTIA","GEOFFREY DOUMAYROU","VINCENT RATTEZ","JÉRÉMY SINZELLE","JEAN-CHARLES ORIOLI","REDA WARDI","ROMAIN SAZY","WIAAN LIEBENBERG","ARTHUR RETIÈRE","BROCK JAMES","PIERRE AGUILLON","SILA PUAFISI",0,28,"LOU Rugby"
"2661","2019-2020","J9","2019-11-10","Stade Français Paris","Racing 92",9,25,"Stade Jean Bouin","STÉPHANE CLÉMENT","LUCAS DA SILVA","PAUL ALO-EMILE","PAUL GABRILLAGUES","YOANN MAESTRI","LOÏC GODENER","SEKOU MACALOU","JOSH STRAUSS","ARTHUR COVILLE","NICOLÁS SANCHEZ","ADRIEN LAPÈGUE","JONATHAN DANTY","GAËL FICKOU","LIONEL MAPOE","KYLAN HAMDAOUI","DAMIEN FITZPATRICK","SAMI MAVINGA","MATHIEU DE GIOVANNI","TALALELEI GRAY","CLÉMENT DAGUIN","MORNÉ STEYN","JULIEN DELBOUIS","LUKE TAGI","EDDY BEN AROUS","CAMILLE CHAT","ALI OZ","DONNACHA RYAN","BORIS PALU","WENCESLAS LAURET","BAPTISTE CHOUZENOUX","ANTONIE CLAASSEN","MAXIME MACHENAUD","FINN RUSSELL","JUAN IMHOFF","HENRY CHAVANCY","VIRIMI VAKATAWA","TEDDY THOMAS","BRICE DULIN","TEDDY BAUBIGNY","GURAM GOGICHASHVILI","DOMINIC BIRD","YOAN TANGA-MANGENE","TEDDY IRIBAREN","BEN VOLAVOLA","SIMON ZEBO","CEDATE GOMES SA",0,-16,"Racing 92"
"2662","2019-2020","J10","2019-11-30","Racing 92","Union Bordeaux-Bègles",30,34,"Stade Français Paris La Défense Arena","GURAM GOGICHASHVILI","TEDDY BAUBIGNY","ALI OZ","BERNARD LE ROUX","DOMINIC BIRD","WENCESLAS LAURET","BAPTISTE CHOUZENOUX","YOAN TANGA-MANGENE","TEDDY IRIBAREN","FINN RUSSELL","JUAN IMHOFF","OLIVIER KLEMENCZAK","VIRIMI VAKATAWA","TEDDY THOMAS","BRICE DULIN","KÉVIN LE GUEN","VASIL KAKOVIN","FABIEN SANCONNIE","IBRAHIM DIALLO","MAXIME MACHENAUD","BEN VOLAVOLA","LOUIS DUPICHOT","CEDATE GOMES SA","JEFFERSON POIROT","ADRIEN PÉLISSIÉ","VADIM COBILAS","KANE DOUGLAS","CYRIL CAZEAUX","ALEXANDRE ROUMAT","CAMERON WOKI","SCOTT HIGGINBOTHAM","YANN LESGOURGUES","MATTHIEU JALIBERT","SANTIAGO CORDERO","RÉMI LAMERAT","SEMI RADRADRA","GEOFFREY CROS","NANS DUCUING","CLÉMENT MAYNADIER","PENI RAVAI","JANDRÉ MARAIS","BÉKA GORGADZE","MAXIME LUCU","BEN BOTICA","SETA TAMANIVALU","LEKSO KAULASHVILI",0,-4,"Union Bordeaux-Bègles"
"2663","2019-2020","J10","2019-11-30","ASM Clermont","SU Agen",30,13,"Parc des Sports Marcel Michelin","LONI UHILA","YOHAN BEHEREGARAY","DAVIT ZIRAKASHVILI","ARTHUR ITURRIA","SITALEKI TIMANI","PECELI YATO","ALEXANDRE LAPANDRY","FRITZ LEE","MORGAN PARRA","CAMILLE LOPEZ","SAMUEL EZEALA","WESLEY FOFANA","APISAI NAQALEVU","DAMIAN PENAUD","TIM NANAI-WILLIAMS","MIKE TADJER","GIORGI BERIA","JULIEN RUAUD","FAIFILI LEVAVE","CHARLIE CASSANG","JAKE MCINTYRE","TANI VILI","SIPILI FALATEA","GIORGI TETRASHVILI","LORIS ZARANTONELLO","DAVE RYAN","ANDRÉS ZAFRA","TOM MURDAY","JESSY JEGERLEHNER","DYLAN HAYES","LAURENCE PEARCE","XAVIER CHAUVEAU","LÉO BERDEU","JJ TAULAGI","NATHAN DECRON","SAM VAKA","BENITO MASILEVU","LORIS TOLOT","FERNANDEZ CORRÉA","MORGAN PHÉLIPPONNEAU","ADRIAN MOTOC","GAUTHIER MARAVAT","VALENTIN SAURS","RAPHAËL LAGARDE","JOHANN SADIE","WALTER DESMAISON",0,17,"ASM Clermont"
